Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,FWI,Classes,Region
36,48,13,,9.3,22.2,18.5,8.7,15.3,1,0
32,51,13,,88.7,16.0,5.2,6.9,9.8,1,1
33,68,19,,85.6,12.5,49.8,6.0,8.0,1,0
29,57,18,,65.7,3.4,7.6,1.3,0.5,0,0
3,88,14,,82.5,6.6,26.1,3.0,2.7,1,1
35,38,15,,92.1,51.3,147.7,12.2,26.9,1,1
34,59,16,,88.1,19.5,47.2,7.4,1.9,1,1
27,58,17,,88.9,21.3,37.8,8.7,12.9,1,1
31,64,18,,86.8,17.8,71.8,6.7,1.6,1,0
34,44,12,,92.5,25.2,63.3,11.2,17.5,1,1
36,56,16,,88.9,23.8,57.1,8.2,13.2,1,1
39,21,17,0.4,93.0,18.4,41.5,15.5,18.8,1,1
34,56,17,0.1,84.7,9.7,27.3,4.7,5.2,1,1
34,81,15,,81.8,9.7,37.2,3.0,3.4,0,0
36,43,15,1.9,82.3,9.4,9.9,3.2,3.1,1,1
32,76,2,0.7,63.1,2.6,9.2,1.3,0.5,0,0
33,66,14,,85.9,7.6,27.9,4.8,4.9,1,0
35,56,14,,89.0,29.4,115.6,7.5,15.2,1,1
29,49,19,,88.6,11.5,33.4,9.1,1.3,1,1
35,59,17,,87.4,14.8,57.0,6.9,9.9,1,0
31,71,17,,87.3,46.6,99.0,6.9,16.3,1,1
31,83,17,,84.5,19.4,33.1,4.7,7.3,1,1
35,68,19,,88.3,25.9,13.6,8.8,16.8,1,0
32,62,18,0.1,81.4,8.2,47.7,3.3,3.8,1,0
36,55,18,,89.1,33.5,151.3,9.9,2.4,1,0
29,7,14,,82.8,9.4,34.1,3.2,3.6,1,0
27,75,19,1.2,55.7,2.4,8.3,0.8,0.3,0,0
31,5,19,0.6,77.8,1.6,41.4,2.4,2.8,0,0
28,8,21,16.8,52.5,8.7,8.7,0.6,0.3,0,0
27,75,19,1.2,55.7,2.4,8.3,0.8,0.3,0,0
34,56,15,2.9,74.8,7.1,9.5,1.6,0.8,0,1
33,76,15,,86.5,24.4,117.8,5.6,11.3,1,0
27,84,21,1.2,5.0,6.7,17.0,0.5,0.2,0,0
31,64,15,,86.7,14.2,63.8,5.7,8.4,1,0
31,78,14,0.3,56.9,1.9,8.0,0.7,0.2,0,0
32,48,18,,91.5,44.2,9.1,13.2,25.4,1,1
32,75,14,,86.4,13.0,39.1,5.2,6.8,1,0
34,51,16,3.8,77.5,8.0,9.5,2.0,1.3,0,1
29,41,8,0.1,83.9,24.9,86.0,2.7,5.6,1,1
25,78,15,3.8,42.6,1.2,7.5,0.1,0.0,0,0
36,55,15,,89.1,2.9,43.3,8.0,12.0,1,1
33,26,13,,93.9,21.2,59.2,14.2,19.3,1,1
32,66,17,,85.9,11.2,55.8,5.6,7.5,1,0
33,64,13,,88.9,26.1,16.3,7.1,13.7,1,1
27,87,29,0.5,45.9,3.5,7.9,0.4,0.2,0,1
39,21,17,0.4,93.0,18.4,41.5,15.5,18.8,1,1
31,67,14,,82.6,5.8,22.2,3.1,2.5,1,0
26,81,21,5.8,48.6,3.0,7.7,0.4,0.1,0,0
28,76,21,,72.6,7.0,25.5,0.7,0.4,0,0
3,89,16,0.6,37.3,1.1,7.8,,0.0,0,0
34,71,14,6.5,64.5,3.3,9.1,1.0,0.4,0,1
31,5,19,0.6,77.8,1.6,41.4,2.4,2.8,0,0
25,89,13,2.5,28.6,1.3,6.9,,0.0,0,0
34,45,18,,9.5,18.7,46.4,11.3,15.0,1,1
29,87,15,0.4,47.4,4.2,8.0,0.2,0.1,0,1
35,64,17,,87.2,31.9,145.7,6.8,15.7,1,0
29,57,14,,89.3,12.5,41.3,7.8,9.7,1,0
33,66,14,,87.0,21.7,94.7,5.7,1.6,1,0
3,8,16,0.4,59.8,3.4,27.1,0.9,0.4,0,0
33,5,14,,88.7,22.9,92.8,7.2,12.9,1,0
28,79,18,0.1,73.4,16.4,79.9,1.8,2.8,0,0
38,35,15,,93.8,23.0,42.7,15.7,2.9,1,1
34,53,18,,89.0,21.6,8.3,9.2,15.0,1,0
3,73,15,,86.6,12.1,38.3,5.6,7.1,1,0
35,56,14,0.4,79.2,37.0,166.0,2.1,6.1,0,1
31,52,14,,87.7,6.4,24.3,6.2,5.9,1,0
33,68,19,,85.6,12.5,49.8,6.0,8.0,1,0
35,42,15,0.3,84.7,15.5,45.1,4.3,6.3,1,1
29,74,15,1.1,59.5,4.7,8.2,0.8,0.3,0,1
31,66,11,,85.7,8.3,24.9,4.0,4.1,1,0
32,54,11,0.5,73.7,7.9,3.4,1.2,0.7,0,0
37,55,15,,89.3,28.3,67.2,8.3,14.5,1,1
35,58,1,0.2,78.3,1.8,19.7,1.6,1.0,0,1
33,59,16,0.8,74.2,7.0,8.3,1.6,0.8,0,1
3,64,14,,79.4,5.2,15.4,2.2,1.0,0,1
27,79,16,0.7,53.4,6.4,7.3,0.5,0.3,0,1
32,6,18,0.3,77.1,11.3,47.0,2.2,2.6,0,0
36,54,14,,91.0,65.9,177.3,1.0,26.1,1,1
34,49,15,,89.2,24.8,159.1,8.1,16.0,1,1
36,81,15,,83.7,34.4,17.0,3.8,9.0,1,1
31,72,14,0.2,6.2,3.8,8.0,0.8,0.3,0,1
25,78,14,1.4,45.0,1.9,7.5,0.2,0.1,0,0
32,69,16,,86.5,15.5,48.6,5.5,8.0,1,0
36,43,16,,91.2,46.1,137.7,11.5,24.5,1,1
33,68,15,,86.1,23.9,51.6,5.2,9.1,1,1
3,41,15,,89.4,13.3,22.5,8.4,1.0,1,1
25,86,21,4.6,4.9,1.3,7.5,0.1,0.0,0,0
29,74,19,0.1,75.8,3.6,32.2,2.1,0.9,0,0
32,49,11,,89.4,9.8,33.1,6.8,7.7,1,0
32,51,13,,88.7,16.0,5.2,6.9,9.8,1,1
35,68,16,,85.3,1.0,17.0,4.9,5.3,1,1
25,76,17,7.2,46.0,1.3,7.5,0.2,0.1,0,0
28,58,18,2.2,63.7,3.2,8.5,1.2,0.5,0,1
32,54,11,0.5,73.7,7.9,3.4,1.2,0.7,0,0
37,36,13,0.6,86.2,17.9,36.7,4.8,7.2,1,1
36,53,16,,89.5,37.6,161.5,1.4,22.3,1,0
26,81,19,,84.0,13.8,61.4,4.8,7.1,1,0
34,45,17,,9.5,18.0,24.1,1.9,14.1,1,1
35,59,17,,88.1,12.0,52.8,7.7,1.9,1,0
37,37,14,,94.3,35.9,86.8,16.0,26.3,1,1
29,74,15,1.1,59.5,4.7,8.2,0.8,0.3,0,1
33,66,14,,87.0,21.7,94.7,5.7,1.6,1,0
34,69,13,,85.0,8.2,19.8,4.0,3.9,1,0
35,53,17,0.5,8.2,2.7,149.2,2.7,5.9,1,1
29,61,13,1.3,64.4,4.1,7.6,1.0,0.4,0,0
32,47,14,0.7,77.5,7.1,8.8,1.8,0.9,0,0
32,68,14,1.4,66.6,7.7,9.2,1.1,0.6,0,0
36,53,19,,89.2,17.1,98.6,1.0,15.3,1,0
33,54,13,,88.2,9.9,3.5,6.4,7.2,1,0
29,57,14,,89.3,12.5,41.3,7.8,9.7,1,0
34,58,18,,88.0,13.6,36.8,8.0,9.9,1,1
25,76,17,7.2,46.0,1.3,7.5,0.2,0.1,0,0
3,73,15,,86.6,12.1,38.3,5.6,7.1,1,0
33,26,13,,93.9,21.2,59.2,14.2,19.3,1,1
31,69,17,4.7,62.2,3.9,8.0,1.1,0.4,0,1
42,24,9,,96.0,3.3,76.4,15.7,24.0,1,1
35,64,18,0.2,8.0,9.7,4.4,2.8,3.2,0,0
35,46,13,0.3,83.9,16.9,54.2,3.5,5.5,1,1
33,62,1,8.7,65.5,4.6,8.3,0.9,0.4,0,1
36,54,14,,91.0,65.9,177.3,1.0,26.1,1,1
3,65,14,,85.4,16.0,44.5,4.5,6.5,1,1
31,75,13,0.1,75.1,7.9,27.7,1.5,0.9,0,0
35,63,13,,88.9,21.7,77.0,7.1,12.1,1,0
31,79,15,,85.4,28.5,136.0,4.7,1.7,1,0
28,84,18,,83.8,13.5,49.3,4.5,6.3,1,0
3,8,15,,83.1,7.9,34.5,3.5,3.7,1,1
38,35,15,,93.8,23.0,42.7,15.7,2.9,1,1
33,54,13,,88.2,9.9,3.5,6.4,7.2,1,0
33,57,16,,87.5,15.7,37.6,6.7,9.0,1,1
32,67,14,4.5,64.6,4.4,8.2,1.0,0.4,0,1
33,48,16,,87.6,7.9,17.8,6.8,6.4,1,1
38,43,13,0.5,85.0,13.0,35.4,4.1,5.2,1,1
37,36,13,0.6,86.2,17.9,36.7,4.8,7.2,1,1
29,87,18,,8.0,11.8,28.3,2.8,3.2,0,1
37,37,13,,92.5,27.2,52.4,11.7,18.4,1,1
39,33,17,,93.7,17.1,32.1,17.2,19.5,1,1
36,29,18,,93.9,39.6,8.6,18.5,3.0,1,1
31,65,14,,84.5,12.5,54.3,4.0,5.6,1,0
39,64,9,1.2,73.8,11.7,15.9,1.1,0.7,0,1
29,88,13,,71.0,2.6,16.6,1.2,0.5,0,0
36,58,19,,88.6,29.6,141.1,9.2,18.4,1,0
32,68,14,1.4,66.6,7.7,9.2,1.1,0.6,0,0
26,82,22,13.1,47.1,2.5,7.1,0.3,0.1,0,0
32,81,17,,84.6,21.1,42.3,4.7,7.7,1,1
29,49,19,,88.6,11.5,33.4,9.1,1.3,1,1
35,42,15,0.3,84.7,15.5,45.1,4.3,6.3,1,1
31,54,11,,82.0,6.0,16.3,2.5,1.7,0,0
42,24,9,,96.0,3.3,76.4,15.7,24.0,1,1
28,78,16,0.1,7.0,9.6,79.7,1.4,1.3,0,0
35,34,17,,92.2,23.6,97.3,13.8,21.6,1,1
31,65,14,,84.5,12.5,54.3,4.0,5.6,1,0
35,34,16,0.2,88.3,16.9,45.1,7.5,1.5,1,1
35,48,18,,9.1,54.2,22.4,12.5,3.2,1,0
34,7,16,,86.0,12.8,25.6,5.4,6.7,1,1
36,44,13,,9.1,12.6,19.4,8.3,9.6,1,1
32,48,18,,91.5,44.2,9.1,13.2,25.4,1,1
36,55,15,,89.1,2.9,43.3,8.0,12.0,1,1
36,62,16,,87.8,16.5,34.5,7.0,9.5,1,1
35,55,12,0.4,78.0,5.8,1.0,1.7,0.8,0,0
34,61,13,0.6,73.9,7.8,22.9,1.4,0.8,0,0
3,73,13,4.0,55.7,2.7,7.8,0.6,0.2,0,1
29,8,14,2.0,48.7,2.2,7.6,0.3,0.1,0,1
29,75,16,,8.8,3.4,24.0,2.8,1.7,1,0
33,46,14,1.1,78.3,8.1,8.3,1.9,1.2,0,1
28,87,15,4.4,41.1,6.5,8.0,0.1,0.0,0,1
33,5,14,,88.7,22.9,92.8,7.2,12.9,1,0
29,74,19,0.1,75.8,3.6,32.2,2.1,0.9,0,0
24,82,15,0.4,44.9,0.9,7.3,0.2,0.0,0,0
32,71,12,0.7,57.1,2.5,8.2,0.6,0.2,0,1
4,34,14,,93.3,1.8,21.4,13.8,13.5,1,1
36,71,15,,86.0,36.9,117.1,5.1,12.2,1,1
25,89,13,2.5,28.6,1.3,6.9,,0.0,0,0
36,45,14,,78.8,4.8,1.2,2.0,0.9,0,0
31,65,18,,84.3,12.5,88.7,4.8,7.3,1,0
36,44,13,,9.1,12.6,19.4,8.3,9.6,1,1
36,48,13,,9.3,22.2,18.5,8.7,15.3,1,0
34,42,15,1.7,79.7,12.0,8.5,2.2,2.2,0,1
36,55,13,0.3,82.4,15.6,92.5,3.7,6.3,1,0
3,64,14,,79.4,5.2,15.4,2.2,1.0,0,1
32,73,15,,86.6,26.7,127.0,5.6,11.9,1,0
3,73,14,,79.2,6.5,16.6,2.1,1.2,0,1
33,63,17,1.1,72.8,2.9,56.6,1.6,2.5,0,1
31,62,15,,83.3,5.8,17.7,3.8,3.2,1,1
28,51,17,1.3,71.4,7.7,7.4,1.5,0.8,0,1
36,56,16,,88.9,23.8,57.1,8.2,13.2,1,1
27,59,18,0.1,78.1,8.5,14.7,2.4,1.9,0,1
28,58,18,2.2,63.7,3.2,8.5,1.2,0.5,0,1
31,42,21,,9.6,18.2,3.5,13.4,16.7,1,1
31,68,14,,85.4,12.1,43.1,4.6,6.0,1,0
28,84,18,,83.8,13.5,49.3,4.5,6.3,1,0
36,33,13,0.1,9.6,25.8,77.8,9.0,15.4,1,1
32,71,12,0.7,57.1,2.5,8.2,0.6,0.2,0,1
34,63,13,2.9,69.7,7.2,9.8,1.2,0.6,0,1
31,55,11,,87.8,16.5,57.9,5.4,8.3,1,0
34,59,16,,88.1,19.5,47.2,7.4,1.9,1,1
37,53,14,,89.5,41.1,127.5,8.0,18.1,1,1
29,73,17,0.1,68.4,1.9,15.7,1.4,0.5,0,0
31,78,18,,85.8,45.6,19.6,4.7,13.7,1,0
28,7,15,,79.9,13.8,36.1,2.4,3.0,0,1
29,65,19,0.6,68.3,5.5,15.2,1.5,0.7,0,0
35,34,17,,92.2,23.6,97.3,13.8,21.6,1,1
32,69,16,,86.5,15.5,48.6,5.5,8.0,1,0
39,45,13,0.6,85.2,11.3,1.4,4.2,4.7,1,1
28,9,15,,66.8,7.2,14.7,1.2,0.6,0,1
4,41,1,0.1,92.0,22.6,65.1,9.5,14.8,1,1
29,89,13,0.7,36.1,1.7,7.6,,0.0,0,0
34,58,13,0.2,79.5,18.7,88.0,2.1,3.8,0,1
29,65,19,0.6,68.3,5.5,15.2,1.5,0.7,0,0
26,8,16,1.8,47.4,2.9,7.7,0.3,0.1,0,0
31,65,14,,84.5,12.5,54.3,4.0,5.6,1,0
31,72,14,,84.2,8.3,25.2,3.8,3.9,1,1
34,58,16,,88.1,27.8,61.1,7.3,13.0,1,1
22,86,15,1.1,3.5,0.7,7.0,,0.0,0,0
35,54,11,0.1,83.7,8.4,26.3,3.1,3.1,1,1
34,81,15,,81.8,9.7,37.2,3.0,3.4,0,0
32,81,17,,84.6,21.1,42.3,4.7,7.7,1,1
3,65,14,,78.1,3.2,15.7,1.9,0.8,0,0
32,6,14,0.2,77.1,6.0,17.6,1.8,0.9,0,1
36,58,19,,88.6,29.6,141.1,9.2,18.4,1,0
27,58,17,,88.9,21.3,37.8,8.7,12.9,1,1
32,47,14,0.7,77.5,7.1,8.8,1.8,0.9,0,0
3,8,19,0.4,6.7,5.2,17.0,1.1,0.5,0,0
31,72,14,,84.2,8.3,25.2,3.8,3.9,1,1
34,65,13,,86.8,11.1,29.7,5.2,6.1,1,0
33,76,14,,81.1,8.1,18.7,2.6,2.2,0,0
35,6,15,,88.9,43.9,181.3,8.2,2.3,1,0
24,64,15,0.2,67.3,3.8,16.5,1.2,0.5,0,1
34,42,17,0.1,88.3,23.6,52.5,19.0,12.6,1,1
33,62,1,8.7,65.5,4.6,8.3,0.9,0.4,0,1
35,47,18,6.0,8.8,9.8,9.7,3.1,3.0,1,1
27,84,21,1.2,5.0,6.7,17.0,0.5,0.2,0,0
32,63,14,,87.0,1.9,37.0,5.6,6.8,1,0
32,47,13,0.3,79.9,18.4,84.4,2.2,3.9,0,0
36,5,16,,89.9,32.7,71.0,9.5,17.3,1,1
32,55,14,,86.2,8.3,18.4,5.0,4.9,1,1
34,56,17,0.1,84.7,9.7,27.3,4.7,5.2,1,1
31,71,17,0.3,69.6,3.2,3.1,1.5,0.6,0,0
3,8,15,,83.1,7.9,34.5,3.5,3.7,1,1
29,73,17,0.1,68.4,1.9,15.7,1.4,0.5,0,0
28,79,18,0.1,73.4,16.4,79.9,1.8,2.8,0,0
27,87,29,0.5,45.9,3.5,7.9,0.4,0.2,0,1
35,44,17,0.2,85.6,9.9,28.9,5.4,6.0,1,1
3,52,15,2.0,72.3,11.4,7.8,1.4,0.9,0,1
33,57,16,,87.5,15.7,37.6,6.7,9.0,1,1
31,75,13,0.1,75.1,7.9,27.7,1.5,0.9,0,0
39,39,15,0.2,89.3,15.8,35.4,8.2,1.7,1,1
33,46,14,1.1,78.3,8.1,8.3,1.9,1.2,0,1
34,4,18,,92.1,56.3,157.5,14.3,31.1,1,1
33,69,13,0.7,66.6,6.0,9.3,1.1,0.5,0,0
26,81,19,,84.0,13.8,61.4,4.8,7.1,1,0
33,68,15,,86.1,23.9,51.6,5.2,9.1,1,1
27,77,16,,64.8,3.0,14.2,1.2,0.5,0,0
3,78,2,0.5,59.0,4.6,7.8,1.0,0.4,0,0
36,43,16,,91.2,46.1,137.7,11.5,24.5,1,1
3,77,15,1.0,56.1,2.1,8.4,0.7,0.2,0,0
28,81,15,,84.6,12.6,41.5,4.3,5.7,1,1
4,34,14,,93.3,1.8,21.4,13.8,13.5,1,1
29,86,16,,37.9,0.9,8.2,0.1,0.0,0,1
36,29,18,,93.9,39.6,8.6,18.5,3.0,1,1
31,71,17,0.3,69.6,3.2,3.1,1.5,0.6,0,0
33,65,15,0.1,81.4,12.3,62.1,2.8,4.0,1,0
28,75,16,,82.2,4.4,24.3,3.3,2.5,1,1
36,45,14,,78.8,4.8,1.2,2.0,0.9,0,0
31,68,14,,85.4,12.1,43.1,4.6,6.0,1,0
32,76,2,0.7,63.1,2.6,9.2,1.3,0.5,0,0
31,64,15,,86.7,14.2,63.8,5.7,8.4,1,0
34,64,14,,88.9,4.5,171.3,9.0,2.9,1,0
35,66,15,0.1,82.7,32.7,96.8,3.3,7.7,1,1
35,53,17,0.5,8.2,2.7,149.2,2.7,5.9,1,1
32,55,14,,89.1,25.5,88.5,7.6,13.9,1,0
35,68,16,,85.3,1.0,17.0,4.9,5.3,1,1
36,33,13,0.1,9.6,25.8,77.8,9.0,15.4,1,1
31,78,14,0.3,56.9,1.9,8.0,0.7,0.2,0,0
28,76,21,,72.6,7.0,25.5,0.7,0.4,0,0
34,56,15,2.9,74.8,7.1,9.5,1.6,0.8,0,1
37,55,15,,89.3,28.3,67.2,8.3,14.5,1,1
31,69,17,4.7,62.2,3.9,8.0,1.1,0.4,0,1
35,55,12,0.4,78.0,5.8,1.0,1.7,0.8,0,0
27,79,16,0.7,53.4,6.4,7.3,0.5,0.3,0,1
35,44,17,0.2,85.6,9.9,28.9,5.4,6.0,1,1
34,58,13,0.2,79.5,18.7,88.0,2.1,3.8,0,1
25,88,13,0.2,52.9,7.9,38.8,0.4,0.3,0,0
36,53,16,,89.5,37.6,161.5,1.4,22.3,1,0
31,62,15,,83.3,5.8,17.7,3.8,3.2,1,1
34,69,13,,85.0,8.2,19.8,4.0,3.9,1,0
33,76,15,,86.5,24.4,117.8,5.6,11.3,1,0
28,8,17,3.1,49.4,3.0,7.4,0.4,0.1,0,0
34,45,18,,9.5,18.7,46.4,11.3,15.0,1,1
33,76,14,,81.1,8.1,18.7,2.6,2.2,0,0
28,9,15,,66.8,7.2,14.7,1.2,0.6,0,1
24,64,15,0.2,67.3,3.8,16.5,1.2,0.5,0,1
35,47,18,6.0,8.8,9.8,9.7,3.1,3.0,1,1
3,66,15,0.2,73.5,4.1,26.6,1.5,0.7,0,1
35,64,18,0.2,8.0,9.7,4.4,2.8,3.2,0,0
39,43,12,,91.7,16.5,3.9,9.6,12.7,1,1
34,42,17,0.1,88.3,23.6,52.5,19.0,12.6,1,1
25,78,15,3.8,42.6,1.2,7.5,0.1,0.0,0,0
26,49,6,2.0,61.3,11.9,28.1,0.6,0.4,0,1
33,37,16,,92.2,61.3,167.2,13.1,3.3,1,1
3,59,19,,89.1,27.8,168.2,9.8,19.4,1,1
27,66,22,0.4,68.2,1.5,71.3,1.8,2.1,0,0
29,86,16,,37.9,0.9,8.2,0.1,0.0,0,1
25,88,13,0.2,52.9,7.9,38.8,0.4,0.3,0,0
29,61,13,1.3,64.4,4.1,7.6,1.0,0.4,0,0
28,67,19,,75.4,2.9,16.3,2.0,0.8,0,1
35,64,17,,87.2,31.9,145.7,6.8,15.7,1,0
3,65,14,,78.1,3.2,15.7,1.9,0.8,0,0
34,53,18,,89.0,21.6,8.3,9.2,15.0,1,0
36,81,15,,83.7,34.4,17.0,3.8,9.0,1,1
34,51,16,3.8,77.5,8.0,9.5,2.0,1.3,0,1
34,61,13,0.6,73.9,7.8,22.9,1.4,0.8,0,0
3,58,12,4.1,66.1,4.0,8.4,1.0,0.4,0,1
38,43,13,0.5,85.0,13.0,35.4,4.1,5.2,1,1
39,43,12,,91.7,16.5,3.9,9.6,12.7,1,1
32,75,14,,86.4,13.0,39.1,5.2,6.8,1,0
3,89,16,0.6,37.3,1.1,7.8,,0.0,0,0
22,76,26,8.3,47.4,1.1,7.0,0.4,0.1,0,0
28,78,16,0.1,7.0,9.6,79.7,1.4,1.3,0,0
34,7,16,,86.0,12.8,25.6,5.4,6.7,1,1
29,61,13,1.3,64.4,4.1,7.6,1.0,0.4,0,0
4,41,1,0.1,92.0,22.6,65.1,9.5,14.8,1,1
3,65,14,,85.4,16.0,44.5,4.5,6.5,1,1
33,65,15,0.1,81.4,12.3,62.1,2.8,4.0,1,0
35,58,1,0.2,78.3,1.8,19.7,1.6,1.0,0,1
35,68,19,,88.3,25.9,13.6,8.8,16.8,1,0
35,38,15,,92.1,51.3,147.7,12.2,26.9,1,1
33,66,14,,85.9,7.6,27.9,4.8,4.9,1,0
3,78,14,,81.0,6.3,31.6,2.6,2.2,1,0
39,33,17,,93.7,17.1,32.1,17.2,19.5,1,1
3,73,13,4.0,55.7,2.7,7.8,0.6,0.2,0,1
28,8,21,16.8,52.5,8.7,8.7,0.6,0.3,0,0
29,75,16,,8.8,3.4,24.0,2.8,1.7,1,0
34,44,12,,92.5,25.2,63.3,11.2,17.5,1,1
27,66,22,0.4,68.2,1.5,71.3,1.8,2.1,0,0
3,77,21,1.8,58.5,1.9,8.4,1.1,0.3,0,0
31,67,17,0.1,79.1,7.0,39.5,2.4,2.3,0,0
24,54,18,0.1,79.7,4.3,15.2,1.7,0.7,0,1
3,78,2,0.5,59.0,4.6,7.8,1.0,0.4,0,0
35,51,13,0.3,81.3,15.6,75.1,2.5,4.2,0,0
34,64,16,,89.4,5.2,21.4,7.3,19.9,1,0
33,59,16,0.8,74.2,7.0,8.3,1.6,0.8,0,1
29,68,19,1.0,59.9,2.5,8.6,1.1,0.4,0,0
31,83,17,,84.5,19.4,33.1,4.7,7.3,1,1
35,6,15,,88.9,43.9,181.3,8.2,2.3,1,0
31,67,14,,82.6,5.8,22.2,3.1,2.5,1,0
3,52,15,2.0,72.3,11.4,7.8,1.4,0.9,0,1
35,63,14,0.3,76.6,5.7,1.0,1.7,0.8,0,0
26,49,6,2.0,61.3,11.9,28.1,0.6,0.4,0,1
36,61,18,0.3,8.2,11.7,9.4,2.8,4.2,1,0
29,57,18,,65.7,3.4,7.6,1.3,0.5,0,0
31,65,18,,84.3,12.5,88.7,4.8,7.3,1,0
26,8,16,1.8,47.4,2.9,7.7,0.3,0.1,0,0
33,7,17,,85.4,18.5,71.5,5.2,8.8,1,0
3,59,19,,89.1,27.8,168.2,9.8,19.4,1,1
33,63,17,1.1,72.8,2.9,56.6,1.6,2.5,0,1
36,71,15,,86.0,36.9,117.1,5.1,12.2,1,1
37,56,11,,87.4,11.2,2.2,5.2,5.9,1,1
28,79,12,,73.2,9.5,46.3,1.3,0.9,0,0
3,54,14,3.1,7.5,11.0,9.1,1.3,0.8,0,1
34,58,16,,88.1,27.8,61.1,7.3,13.0,1,1
32,73,15,,86.6,26.7,127.0,5.6,11.9,1,0
35,59,17,,88.1,12.0,52.8,7.7,1.9,1,0
33,73,12,1.8,59.9,2.2,8.9,0.7,0.3,0,0
35,56,14,,89.0,29.4,115.6,7.5,15.2,1,1
28,79,12,,73.2,9.5,46.3,1.3,0.9,0,0
31,67,17,0.1,79.1,7.0,39.5,2.4,2.3,0,0
35,55,14,,88.9,18.6,67.0,7.4,11.6,1,0
3,66,15,0.2,73.5,4.1,26.6,1.5,0.7,0,1
36,43,15,1.9,82.3,9.4,9.9,3.2,3.1,1,1
33,78,17,,8.1,4.6,18.5,2.7,1.7,0,0
35,66,15,0.1,82.7,32.7,96.8,3.3,7.7,1,1
39,39,15,0.2,89.3,15.8,35.4,8.2,1.7,1,1
32,55,14,,86.2,8.3,18.4,5.0,4.9,1,1
33,7,17,,85.4,18.5,71.5,5.2,8.8,1,0
36,5,16,,89.9,32.7,71.0,9.5,17.3,1,1
3,77,15,1.0,56.1,2.1,8.4,0.7,0.2,0,0
28,8,17,3.1,49.4,3.0,7.4,0.4,0.1,0,0
34,65,13,,86.8,11.1,29.7,5.2,6.1,1,0
37,37,13,,92.5,27.2,52.4,11.7,18.4,1,1
27,59,18,0.1,78.1,8.5,14.7,2.4,1.9,0,1
34,42,15,1.7,79.7,12.0,8.5,2.2,2.2,0,1
26,81,21,5.8,48.6,3.0,7.7,0.4,0.1,0,0
3,73,17,0.9,62.0,2.6,8.4,1.1,0.4,0,0
28,51,17,1.3,71.4,7.7,7.4,1.5,0.8,0,1
33,82,21,,84.9,47.0,2.2,4.4,13.2,1,0
28,75,16,,82.2,4.4,24.3,3.3,2.5,1,1
33,82,21,,84.9,47.0,2.2,4.4,13.2,1,0
28,67,19,,75.4,2.9,16.3,2.0,0.8,0,1
3,73,14,,79.2,6.5,16.6,2.1,1.2,0,1
25,78,14,1.4,45.0,1.9,7.5,0.2,0.1,0,0
27,84,21,1.2,5.0,6.7,17.0,0.5,0.2,0,0
3,78,14,,81.0,6.3,31.6,2.6,2.2,1,0
34,63,13,2.9,69.7,7.2,9.8,1.2,0.6,0,1
35,63,13,,88.9,21.7,77.0,7.1,12.1,1,0
24,82,15,0.4,44.9,0.9,7.3,0.2,0.0,0,0
32,55,14,,89.1,25.5,88.5,7.6,13.9,1,0
22,76,26,8.3,47.4,1.1,7.0,0.4,0.1,0,0
4,31,15,,94.2,22.5,46.3,16.6,21.6,1,1
3,77,21,1.8,58.5,1.9,8.4,1.1,0.3,0,0
